name,hp,str,mg,spd,dex,def,res,lck,cha,p_skill
누디누,45,40,30,45,40,30,25,35,35,강행 돌파 : [기병] 적이 있는 칸을 통과할 수 있다 (자신이 대형 유닛이면 무효)
밴디츠,50,35,20,35,50,35,25,30,35,마차 전투술 : [기병] 자신이 [전차병]이면 명중 +20
알렉산드라,30,35,35,55,45,30,40,50,50,백은의 소녀 : 인접한 아군 한 명당 자신의 명중 회피 +5
양계,50,35,40,35,35,30,40,40,25,파계승 : 적 처치 시 (행운÷2)%로 발동. 자신의 HP를 최대 HP만큼 회복한다
녹투라,50,45,20,45,40,40,20,35,30,집중 : 전투 후 회피 +3 (다음 자신의 페이즈 전까지)
소피아,35,30,45,30,40,25,40,30,40,치유의 지식 : 마법으로 아군을 회복할 때 회복량 +10
페페,30,30,25,60,45,30,30,45,30,사냥꾼의 매복 : 적 페이즈일 때 전투 시 적이 대미지를 받은 상태라면 30%로 발동. 자신이 선공이 된다
자코네,40,30,20,60,35,30,25,30,15,액스 나이프 : 도끼 장비 시 명중 +10
마지데,65,50,15,20,30,40,10,25,5,광폭한 도끼 : 도끼 장비 시 힘 +3
키로이카,55,40,15,55,50,30,15,30,25,"포학 : 전투 시 적이 상태 이상이면 공격력 +3,필살 +10"
자스민,50,40,20,30,45,45,25,40,45,-
누조,50,50,15,55,45,20,15,25,35,부족의 비기 : 전투 시 자신의 공격이 적에게 유효 특효일 경우 공격력 +3
이니오니,40,50,20,35,40,40,30,40,30,-
키릭,45,50,15,60,50,35,20,30,35,"냉정 침착 : 후공일 경우 해당 전투 중 공속 +3,회피 +10"
네이선,55,60,15,25,60,45,15,25,30,"저돌 맹진 : 선공인 경우 해당 전투 중 공속 +3,회피 +10"
베르트랑,50,55,15,50,45,45,20,30,50,갑옷 장례 : 전투 시 5%로 발동. 공속에 상관없이 추격한다
타리문,45,40,45,45,40,35,40,60,50,-
오르헬,30,60,45,20,10,60,60,20,60,견뢰견고 : 수비 +5. 중갑 속성이 된다 (기병 및 비행 병과 선택 불가)
아나톨리아,40,35,50,45,50,35,40,40,50,-
이스마르,50,45,45,45,45,35,35,40,50,구세의 빛 : 주위 2칸 내에 있는 적의 [명부의 가호]를 무효화한다
홍화,40,30,45,45,45,30,45,30,40,주명 : 마법 장비 시 명중 +10
트로이아,40,45,45,40,50,30,30,30,30,운수 : 건틀릿 장비 시 명중 +10
