name,might,weight,hit,avoid,crit,range,uses,rank,desc,kind
사검 벨로키네+1,14,12,60,0,0,1,20,검 B/도끼 C,명계의 어두운 힘이 깃든 마세검. 전투 기술 [절화] 사용 가능 (원주력 2),sword
열린 구세의 검,6,5,90,0,0,1,20,E,어느 이국 신화에 등장하는 신의 피를 이은 왕자에게 맡겨진 검 인접한 이군의 방어력 +1,sword
왕가의 보검,5,4,90,0,0,1,10,E,어느 이국 우화에 등장하는 망국의 왕자가 지닌 보검 [노나 파이어 EX]를 사용할 수 있다,sword
목제 창,3,5,90,0,0,1,10,E,가볍고 다루기 쉬운 목제 창,lance
목제 창+1,4,5,90,0,0,1,10,E,가볍고 다루기 쉬운 목제 창,lance
목제 창+2,5,5,90,0,0,1,10,E,가볍고 다루기 쉬운 목제 창,lance
목제 창+3,6,5,90,0,0,1,10,E,가볍고 다루기 쉬운 목제 창,lance
목제 창+4,7,5,90,0,0,1,10,E,가볍고 다루기 쉬운 목제 창,lance
청동의 창,5,7,90,0,0,1,15,E,청동으로 주조한 일반적인 창,lance
청동의 창+1,7,7,90,0,0,1,15,E,청동으로 주조한 일반적인 창,lance
청동의 창+2,9,7,90,0,0,1,15,E,청동으로 주조한 일반적인 창,lance
철의 창,10,7,80,0,0,1,20,D,철을 단조해 만든 양질의 창,lance
철의 창+2,14,7,80,0,0,1,20,D,철을 단조해 만든 양질의 창,lance
다 미나의 창+1,16,7,80,0,0,1,25,C,다 미나에서 제조된 고품질 창. 전투 기술로 공격 시 명중 +10,lance
투척창,3,8,80,0,0,1-2,20,D,간단한 구조의 투창,lance
투척창+1,5,8,80,0,0,1-2,20,D,간단한 구조의 투창,lance
투척창+2,10,8,80,0,0,1-2,20,D,간단한 구조의 투창,lance
쇼트 스피어,5,10,75,0,0,1-2,20,C,던지기 좋은 양질의 투창,lance
쇼트 스피어+1,7,10,75,0,0,1-2,20,C,던지기 좋은 양질의 투창,lance
쇼트 스피어+2,11,10,75,0,0,1-2,20,C,던지기 좋은 양질의 투창,lance
극+1,15,7,80,0,0,1,25,창 B/도끼 D,다양한 전투 방식에 대응 가능한 창. 전투 기술 [바람 꿰기] 사용 가능,lance
언월도,11,9,90,10,0,1,20,검 D/창 B,넓고 무거운 창날을 가진 강력한 창,lance
언월도+1,14,9,90,10,0,1,20,검 D/창 B,넓고 무거운 창날을 가진 강력한 창,lance
나이트 킬러+1,16,10,70,0,0,1,20,C,기병을 상대로 특화된 창,lance
마하마두의 창+2,17,8,85,0,0,1,20,E,전설 속 영웅이 휘두른 황금빛 창. 전투 기술 [진월] 사용 가능. [진월]의 위력 +2,lance
사창 무엔,22,20,45,0,0,1,30,A,명계의 어두운 힘이 깃든 마창. 전투 기술 [흑굉] 사용 가능 (원주력 2),lance
사창 무엔+1,23,20,45,0,0,1,30,A,명계의 어두운 힘이 깃든 마창. 전투 기술 [흑굉] 사용 가능 (원주력 2),lance
사창 하노어,12,7,80,0,0,1,20,A,명계의 어두운 힘이 깃든 돌창. 전투 기술 [기병 파괴] 사용 가능 (원주력 1),lance
사창 하노어+1,13,7,80,0,0,1,20,A,명계의 어두운 힘이 깃든 돌창. 전투 기술 [기병 파괴] 사용 가능 (원주력 1),lance
성스러운 창 아살,7,8,85,0,0,1,20,D,일찍이 세테스가 스스로 단조한 창. 전투 기술 [성격] 사용 가능,lance
성스러운 창 아살+1,10,8,85,0,0,1,20,D,일찍이 세테스가 스스로 단조한 창. 전투 기술 [성격] 사용 가능,lance
얼음의 구세의 창,7,7,85,10,0,1,20,E,어느 이국 신화에 등장하는 얼음의 왕녀에게 맡겨진 창,lance
목제 도끼,5,7,70,0,0,1,15,E,가볍고 다루기 쉬운 목제 도끼,axe
목제 도끼+1,6,7,70,0,0,1,15,E,가볍고 다루기 쉬운 목제 도끼,axe
목제 도끼+2,7,7,70,0,0,1,15,E,가볍고 다루기 쉬운 목제 도끼,axe
목제 도끼+3,8,7,70,0,0,1,15,E,가볍고 다루기 쉬운 목제 도끼,axe
목제 도끼+4,9,7,70,0,0,1,15,E,가볍고 다루기 쉬운 목제 도끼,axe
청동의 도끼,7,9,70,0,0,1,20,E,청동으로 주조한 일반적인 도끼,axe
청동의 도끼+1,9,9,70,0,0,1,20,E,청동으로 주조한 일반적인 도끼,axe
청동의 도끼+2,11,9,70,0,0,1,20,E,청동으로 주조한 일반적인 도끼,axe
철의 도끼,13,10,65,0,0,1,25,D,철을 단조해 만든 양질의 도끼,axe
철의 도끼+1,15,10,65,0,0,1,25,D,철을 단조해 만든 양질의 도끼,axe
철의 도끼+2,17,10,65,0,0,1,25,D,철을 단조해 만든 양질의 도끼,axe
다 미나의 도끼,16,10,65,0,0,1,30,C,다 미나에서 제조된 고품질 도끼. 전투 기술로 공격 시 명중 +10,axe
다 미나의 도끼+1,19,10,65,0,0,1,30,C,다 미나에서 제조된 고품질 도끼. 전투 기술로 공격 시 명중 +10,axe
투척도끼,5,10,65,0,0,1-2,25,D,투척이 가능한 간단한 구조의 도끼,axe
투척도끼+1,7,10,65,0,0,1-2,25,D,투척이 가능한 간단한 구조의 도끼,axe
투척도끼+2,12,10,65,0,0,1-2,25,D,투척이 가능한 간단한 구조의 도끼,axe
쇼트 액스,9,12,60,0,0,1-2,25,C,던지기 좋은 양질의 투척도끼,axe
쇼트 액스+1,11,12,60,0,0,1-2,25,C,던지기 좋은 양질의 투척도끼,axe
사가리스,15,14,55,0,0,1-2,30,B,위력을 높인 고품질 투척도끼,axe
바디시+1,16,9,65,0,0,1,20,창 D/도끼 D,긴 자루 끝에 커다란 날이 달린 도끼,axe
해머+1,16,20,60,0,0,1,30,D,단단한 갑옷도 부수는 전투용 망치,axe
메이스,3,5,90,9,9,1,20,E,손쉽게 다룰 수 있는 타격용 무기. 전투 기술 [마충타] 사용 가능,axe
메이스+1,6,5,90,9,9,1,20,E,손쉽게 다룰 수 있는 타격용 무기. 전투 기술 [마충타] 사용 가능,axe
사부 벨하이트,13,5,95,0,0,1,25,A,명계의 어두운 힘이 깃든 양날 도끼. 전투 기술 [폭풍 걸음] 사용 가능 (원주려 1),axe
사부 벨하이트+1,14,5,95,0,0,1,25,A,명계의 어두운 힘이 깃든 양날 도끼. 전투 기술 [폭풍 걸음] 사용 가능 (원주려 1),axe
사부 벨하이트+2,15,5,95,0,0,1,25,A,명계의 어두운 힘이 깃든 양날 도끼. 전투 기술 [폭풍 걸음] 사용 가능 (원주려 1),axe
사부 벨하이트+3,18,5,95,0,0,1,25,A,명계의 어두운 힘이 깃든 양날 도끼. 전투 기술 [폭풍 걸음] 사용 가능 (원주려 1),axe
목제 활,2,4,75,0,0,2,10,E,가볍고 다루기 쉬운 목제 활,bow
목제 활+1,3,4,75,0,0,2,10,E,가볍고 다루기 쉬운 목제 활,bow
목제 활+2,4,4,75,0,0,2,10,E,가볍고 다루기 쉬운 목제 활,bow
목제 활+3,5,4,75,0,0,2,10,E,가볍고 다루기 쉬운 목제 활,bow
목제 활+4,6,4,75,0,0,2,10,E,가볍고 다루기 쉬운 목제 활,bow
청동의 활,4,6,75,0,0,2,15,E,청동으로 강도를 높인 일반적인 활,bow
청동의 활+1,6,6,75,0,0,2,15,E,청동으로 강도를 높인 일반적인 활,bow
청동의 활+2,8,6,75,0,0,2,15,E,청동으로 강도를 높인 일반적인 활,bow
철의 활,9,6,75,0,0,2,20,D,용수철을 결합한 양질의 활,bow
철의 활+1,11,6,75,0,0,2,20,D,용수철을 결합한 양질의 활,bow
철의 활+2,13,6,75,0,0,2,20,D,용수철을 결합한 양질의 활,bow
다 미나의 활,12,6,70,0,0,2,25,C,다 미나에서 제조된 고품질 활. 전투 기술로 공격 시 명중 +10,bow
다 미나의 활+1,15,6,70,0,0,2,25,C,다 미나에서 제조된 고품질 활. 전투 기술로 공격 시 명중 +10,bow
수렵의 활+1,8,7,70,0,0,2,20,D,숲의 부족이 즐겨 쓰는 복합궁 (야수 유효),bow
롱 보우,12,13,60,0,0,2,20,C,사정거리가 길고 굉장히 큰 활. 전투 기술 [저격] 사용 가능,bow
롱 보우+1,13,13,60,0,0,2,20,C,사정거리가 길고 굉장히 큰 활. 전투 기술 [저격] 사용 가능,bow
말 킬러의 활+1,12,8,70,0,0,2,20,C,기병을 상대로 특화된 활 (기병 유효),bow
배틀 보우,14,14,50,0,0,2,25,C,위력을 높인 대형 활,bow
배틀 보우+1,18,14,50,0,0,2,25,C,위력을 높인 대형 활,bow
바람의 활,9,5,80,10,0,2,20,C,바람 정령의 힘이 깃든 아름다운 활,bow
바람의 활+1,11,5,80,10,0,2,20,C,바람 정령의 힘이 깃든 아름다운 활. 선공일 경우 해당 전투 중 회피 +3,bow
독의 활,3,4,75,0,0,2,20,D,화살에 맹독을 묻힌 활. 공격 명중 시 적을 독 상태로 만든다,bow
독의 활+1,5,4,75,0,0,2,20,D,화살에 맹독을 묻힌 활. 공격 명중 시 적을 독 상태로 만든다,bow
독의 활+2,7,4,75,0,0,2,20,D,화살에 맹독을 묻힌 활. 공격 명중 시 적을 독 상태로 만든다,bow
아가제의 활,10,10,65,0,0,2,20,A,명계의 어두운 힘이 깃든 검은 마궁. 전투 기술 [재앙 사격] 사용 가능 (원주력 +2),bow
아가제의 활+1,11,10,65,0,0,2,20,A,명계의 어두운 힘이 깃든 검은 마궁. 전투 기술 [재앙 사격] 사용 가능 (원주력 +2),bow
목제 건틀릿,2,1,90,0,0,1,10,E,가볍고 다루기 쉬운 목제 건틀릿,gauntlet
목제 건틀릿+1,3,1,90,5,0,1,10,E,가볍고 다루기 쉬운 목제 건틀릿,gauntlet
목제 건틀릿+2,4,1,90,7,0,1,10,E,가볍고 다루기 쉬운 목제 건틀릿,gauntlet
목제 건틀릿+3,5,1,90,7,0,1,10,E,가볍고 다루기 쉬운 목제 건틀릿,gauntlet
목제 건틀릿+4,6,1,90,9,0,1,10,E,가볍고 다루기 쉬운 목제 건틀릿,gauntlet
청동의 건틀릿,3,2,90,0,0,1,15,E,청동으로 주조한 일반적인 건틀릿,gauntlet
청동의 건틀릿+1,5,2,90,7,0,1,15,E,청동으로 주조한 일반적인 건틀릿,gauntlet
청동의 건틀릿+2,7,2,90,7,0,1,15,E,청동으로 주조한 일반적인 건틀릿,gauntlet
철의 건틀릿,8,3,90,0,0,1,20,D,철을 단조해 만든 양질의 건틀릿,gauntlet
철의 건틀릿+1,10,3,90,7,0,1,20,D,철을 단조해 만든 양질의 건틀릿,gauntlet
철의 건틀릿+2,12,3,90,7,0,1,20,D,철을 단조해 만든 양질의 건틀릿,gauntlet
건곤권,10,4,70,0,0,1-2,20,검 D/격투 C,투척할 수 있는 원형 무기,gauntlet
건곤권+1,11,4,70,0,0,1-2,20,검 D/격투 C,투척할 수 있는 원형 무기,gauntlet
샐러맨더,2,3,80,0,0,1-2,3,E,막강한 위려을 자랑하는 휴대 화기. 마법 공격에 속한다. 전투 기술 [과압축 광탄] 사용 가능,gauntlet
샐러맨더+1,2,3,80,5,0,1-2,3,E,막강한 위려을 자랑하는 휴대 화기. 마법 공격에 속한다. 전투 기술 [과압축 광탄] 사용 가능,gauntlet
샐러맨더+2,3,3,80,5,0,1-2,3,E,막강한 위려을 자랑하는 휴대 화기. 마법 공격에 속한다. 전투 기술 [과압축 광탄] 사용 가능,gauntlet
브레이다블리크,2,4,85,0,0,1-2,20,E,이국 신화에 등장하는 소환사의 신기 마법 공격. 지원도 상승 확률이 높다 전투 기술 [인연의 광명] 사용 가능,gauntlet
