name,rank,hp,str,mg,spd,dex,def,res,lck,cha,master_skill,class_skill_1,class_skill_2,class_skill_3,require
기갑 타조병,3,10,0,-5,15,10,10,0,5,5,위협 감지 : 전투 시 적의 공격이 자신에게 유효 특효일 경우 회피 +20,"타기 내리기 : [타기],[내리기]를 사용할 수 있다",,,"기마 D,창,도끼 C (선택)"
천익병,3,10,0,5,0,5,5,5,5,10,천마의 가호 : 마방 +3,"타기 내리기 : [타기],[내리기]를 사용할 수 있다",,,"비행 D,창 도끼 C (선택)"
샤먼,3,5,-5,15,10,10,-10,10,10,0,기술의 주박 : 인접한 적의 기술 -3,흑마술의 탐구 : 흑마법 횟수가 2배로 증가한다,마법 명중 +3 : 마법 장비 시 명중 +3,,흑마법 C
프리스트,3,5,-5,10,5,5,-10,15,15,10,신앙심 : 행운 +3,백마술의 탐구 : 백마법 횟수가 2배로 증가한다,마법 회복 +5 : 마법으로 아군을 회복할 때 회복량 +5,,백마법 C
사도,4,10,5,0,15,10,0,-5,5,5,후비심 : 필살의 일격으로 적 처치 시 자신의 HP를 소량 회복한다,전투 기술 장비 +2 : 장비 가능한 전투 기술 개수 +2,검 필살 +5 : 검 장비 시 필살 +5,,검 B
무용수,4,15,5,0,25,10,0,5,10,20,특별한 춤 : 아군에게 [춤추기] 사용 시 해당 아군의 기술 속도 +3 (해당 페이즈 동안만 적용),전투 기술 장비 +2 : 장비 가능한 전투 기술 개수 +2,춤추기 : 전투 기술 [춤추기]를 사용할 수 있다,,활 검 B (선택)
워리어,4,20,20,-5,0,0,5,-5,0,5,숙련된 기술 : 전투 기술로 공격 시 명중 +10,전투 기술 장비 +2 : 장비 가능한 전투 기술 개수 +2,도끼 명중 +5 : 도끼 장비 시 명중 +5,격투 명중 +5 : 건틀릿 장비 시 명중 +5,"검,도끼,격투 B (선택)"
대장장이,4,15,10,10,0,5,10,10,0,5,즉석 수리 : 전투 기술로 공격 시 10%로 발동. 해당 전투 중 무기 내구도가 줄어들지 않는다,흑마술의 탐구 : 흑마법 횟수가 2배로 증가한다,도끼 명중 +5 : 도끼 장비 시 명중 +5,,"흑마법 D,도끼 C"
스나이퍼,4,10,5,0,10,20,5,5,5,5,사격의 달인 : 활 장비 시 명중 +15,전투 기술 장비 +2 : 장비 가능한 전투 기술 개수 +2,활 명중 +10 : 활 장비 시 명중 +10,,활 B
포레스트 나이트,4,10,5,0,10,15,5,5,5,5,활을 장비한 상태에서 추격 시 공격력 +3,"타기 내리기 : [타기],[내리기]를 사용할 수 있다",전투 기술 장비 +1 : 장비 가능한 전투 기술 개수 +1,활 명중 +5 : 활 장비 시 명중 +5,"기마 D,활 B"
레인저,4,10,5,0,15,15,0,10,15,0,반격 사격 : 활을 장비한 상태에서 전투 시 50%로 발동. 인접한 적에게 반격할 수 있다,전투 기술 장비 +2 : 장비 가능한 전투 기술 개수 +2,자물쇠 열기 : 열쇠가 없어도 보물 상자를 열 수 있다,상급 탐색술 : 부대에 있을 때 탐색을 하면 PERFECT가 될 확률이 높아진다,활 검 B (선택)
가디언,4,10,10,0,0,5,10,15,5,5,가다듬기 : 적 처치 시 물방 +3 (다음 자신의 페이즈 전까지),전투 기술 장비 +2 : 장비 가능한 전투 기술 개수 +2,마법 회복 +10 : 마법으로 아군을 회복할 때 회복량 +10,,창 B
헤비 아머,4,15,15,-5,-10,5,30,-10,0,5,집중 반격 : 후공일 경우 해당 전투 중 명중 +10,전투 기술 장비 +2 : 장비 가능한 전투 기술 개수 +2,후공 수비 +5 : 후공일 경우 해당 전투 중 물방 +5,,"중갑 D,창 도끼 B (선택)"
바딩거,4,10,10,-5,0,5,5,10,5,10,성스러운 방패 : 마법 공격을 받을 때 20%로 발동. 받는 대미지가 반감된다,"타기 내리기 : [타기],[내리기]를 사용할 수 있다",전투 기술 장비 +2 : 장비 가능한 전투 기술 개수 +2,,"기마 C,검 창 B (선택)"
카타프락트,4,15,15,-5,-10,0,10,-5,0,5,,"타기 내리기 : [타기],[내리기]를 사용할 수 있다",전투 기술 장비 +1 : 장비 가능한 전투 기술 개수 +1,후공 수비 +3 : 후공일 경우 해당 전투 중 물방 +3,"중갑 E+,기마 D,도끼 창 B (선택)"
트루바두르,4,10,0,15,5,0,5,15,15,10,용기의 노래 : 범위 내 아군의 기술 속도 +2 (다음 자신의 페이즈 전까지),"타기 내리기 : [타기],[내리기]를 사용할 수 있다",마법 회복 +5 : 마법으로 아군을 회복할 때 회복량 +5,마법 명중 +3 : 마법 장비 시 명중 +3,"기마 D,흑마법 백마법 B"
칼라드리우스,4,15,0,10,5,10,10,10,5,5,빠져나가기 : 적 처치 시 이동력 +1 (최대 +3까지 증가) (다음 턴이 끝날 때까지),"타기 내리기 : [타기],[내리기]를 사용할 수 있다",흑마술의 탐구 : 흑마법 횟수가 2배로 증가한다,전투 기술 장비 +1 : 장비 가능한 전투 기술 개수 +1,"기마 B,흑마법 B"
드라군,4,15,5,0,0,5,10,10,10,5,농성 무너트리기 : 전투 시 적이 유리한 지형에 있으면 명중 +20,"타기 내리기 : [타기],[내리기]를 사용할 수 있다",전투 기술 장비 +1 : 장비 가능한 전투 기술 개수 +1,,"비행 C,창 도끼 B (선택)"
바테스,4,10,-5,20,5,15,-10,15,10,0,속도의 주박 : 인접한 적의 속도 -3,흑마술의 탐구 : 흑마법 횟수가 2배로 증가한다,마법 명중 +5 : 마법 장비 시 명중 +5,,흑마법 B
비숍,4,10,-5,15,0,5,-10,20,20,10,결계 : 인접한 아군의 마방 +3,백마술의 탐구 : 백마법 횟수가 2배로 증가한다,마법 회복 +10 : 마법으로 아군을 회복할 때 회복량 +10,,백마법 B
코끼리병,4,20,10,-5,20,-10,15,-5,5,10,,,,,,,,,,,,,,,
배틀 마스터,5,25,25,-5,-5,5,10,-5,-5,5,,,,,,,,,,,,,,,
마스터 아처,5,15,5,0,20,15,5,5,5,5,,,,,,,,,,,,,,,
섀도 시커,5,15,5,0,15,25,0,10,15,0,,,,,,,,,,,,,,,
홀리 랜서,5,15,15,0,5,5,10,15,5,5,,,,,,,,,,,,,,,
포트리스,5,25,20,-5,5,-15,30,-10,0,5,,,,,,,,,,,,,,,
오리할디어,5,15,15,-5,0,5,5,5,5,10,,,,,,,,,,,,,,,
드래곤 마스터,5,15,5,0,0,5,10,10,10,5,,,,,,,,,,,,,,,
드루이드,5,10,-5,30,15,10,-10,20,10,0,,,,,,,,,,,,,,,
와이즈맨,5,10,-5,20,0,5,-10,25,20,10,,,,,,,,,,,,,,,
배틀 몽크,5,15,10,0,15,0,5,15,5,5,,,,,,,,,,,,,,,
성천익병,5,15,5,-5,5,10,5,15,15,10,,,,,,,,,,,,,,,
그레이트 나이트,5,20,20,-5,-10,0,15,-10,0,5,,,,,,,,,,,,,,,
소드 마스터,5,15,10,0,20,15,0,0,5,5,,,,,,,,,,,,,,,
하이 에피타프,5,10,15,15,10,5,5,5,5,5,,,,,,,,,,,,,,,
보우나이트,5,10,10,0,15,10,5,0,5,5,,,,,,,,,,,,,,,
발키리움,5,10,0,15,5,5,5,10,15,10,,,,,,,,,,,,,,,
